ProbeName	6302A	6302B	6302C	6302D
1072917-1073795	7.84E+03	7.74E+03	8.39E+03	7.88E+03
1072917-1073795	8.25E+03	7.93E+03	7.51E+03	7.33E+03
107306-107509	1.44E+05	1.14E+05	1.38E+05	1.21E+05
107306-107509	1.33E+05	1.09E+05	1.28E+05	1.38E+05
107306-107509	1.56E+05	1.14E+05	1.62E+05	1.28E+05
107306-107509	1.28E+05	1.14E+05	1.35E+05	1.27E+05
1074603-1076132	2.35E+04	2.24E+04	5.06E+03	2.53E+04
1074603-1076132	2.80E+04	2.40E+04	2.65E+04	2.72E+04
1074603-1076132	2.88E+04	2.44E+04	2.73E+04	2.81E+04
1074603-1076132	2.71E+04	2.37E+04	2.87E+04	2.69E+04
107533-107787	2.55E+05	2.04E+05	2.65E+05	2.24E+05
107533-107787	2.43E+05	2.07E+05	2.59E+05	2.28E+05
107533-107787	2.34E+05	2.06E+05	2.55E+05	2.35E+05
107533-107787	2.22E+05	1.90E+05	2.35E+05	2.36E+05
1076412-1077908	2.56E+04	2.07E+04	3.19E+04	3.00E+04
1076412-1077908	2.72E+04	2.17E+04	3.15E+04	3.11E+04
1076412-1077908	2.79E+04	2.15E+04	3.15E+04	3.11E+04
1076412-1077908	2.54E+04	2.04E+04	3.16E+04	2.95E+04
1078053-1078967	1.40E+04	1.22E+04	1.75E+04	1.73E+04
1078053-1078967	1.37E+04	1.35E+04	1.79E+04	1.82E+04
1078053-1078967	1.41E+04	1.31E+04	1.85E+04	1.85E+04
1078053-1078967	1.29E+04	1.28E+04	1.80E+04	1.75E+04
107813-108181	2.71E+05	2.53E+05	3.05E+05	2.84E+05
107813-108181	2.97E+05	2.63E+05	3.17E+05	2.83E+05
107813-108181	2.71E+05	2.43E+05	2.99E+05	2.73E+05
107813-108181	2.85E+05	2.45E+05	2.93E+05	2.74E+05
1079085-1079276	4.13E+04	2.79E+04	4.77E+04	4.66E+04
1079085-1079276	4.32E+04	2.86E+04	4.74E+04	4.81E+04
1079085-1079276	3.72E+04	2.51E+04	4.70E+04	5.21E+04
1079085-1079276	4.11E+04	2.69E+04	4.92E+04	5.03E+04
1079499-1079849	1.28E+04	8.60E+03	1.04E+04	1.09E+04
1079499-1079849	9.22E+03	9.33E+03	1.10E+04	1.09E+04
1079499-1079849	1.28E+04	8.95E+03	9.72E+03	1.14E+04
1079499-1079849	1.18E+04	8.56E+03	1.10E+04	1.01E+04
1080111-1081616	1.30E+04	1.73E+04	1.43E+04	1.40E+04
1080111-1081616	1.45E+04	1.88E+04	1.45E+04	1.35E+04
1080111-1081616	1.59E+04	1.84E+04	1.48E+04	1.31E+04
1080111-1081616	1.59E+04	1.82E+04	1.39E+04	1.32E+04
1082006-1083103	3.86E+03	3.91E+03	3.37E+03	3.32E+03
1082006-1083103	3.61E+03	3.77E+03	3.81E+03	3.19E+03
1082006-1083103	3.82E+03	3.70E+03	3.72E+03	3.59E+03
1082006-1083103	3.40E+03	3.85E+03	3.24E+03	3.33E+03
108202-108510	1.53E+05	1.57E+05	1.66E+05	1.24E+05
108202-108510	1.61E+05	1.95E+05	1.68E+05	1.33E+05
108202-108510	1.56E+05	1.89E+05	1.68E+05	1.58E+05
108202-108510	1.47E+05	1.74E+05	1.75E+05	1.37E+05
1083366-1084502	5.88E+04	3.64E+04	5.94E+04	5.71E+04
1083366-1084502	5.52E+04	3.34E+04	6.02E+04	5.93E+04
1083366-1084502	5.16E+04	3.72E+04	6.12E+04	5.68E+04
1083366-1084502	5.20E+04	3.60E+04	6.06E+04	5.75E+04
1084489-1086042	2.94E+04	2.44E+04	4.21E+04	3.59E+04
1084489-1086042	3.19E+04	2.36E+04	4.10E+04	3.56E+04
1084489-1086042	2.35E+04	2.32E+04	4.17E+04	3.93E+04
1084489-1086042	2.94E+04	2.37E+04	4.10E+04	3.66E+04
108540-109082	2.55E+05	2.14E+05	2.65E+05	2.57E+05
108540-109082	2.09E+05	2.29E+05	2.72E+05	2.56E+05
108540-109082	2.49E+05	2.07E+05	2.73E+05	2.43E+05
108540-109082	2.50E+05	2.32E+05	2.75E+05	2.48E+05
1086376-1087242	5.93E+01	3.83E+01	8.70E+01	7.49E+01
1086376-1087242	2.84E+01	1.40E+02	5.02E+02	1.33E+02
1086376-1087242	5.10E+01	4.05E+01	8.67E+01	6.99E+01
1086376-1087242	6.13E+01	4.04E+01	8.59E+01	6.94E+01
109100-109285	2.93E+05	2.54E+05	3.32E+05	3.03E+05
109100-109285	2.57E+05	2.50E+05	3.17E+05	2.98E+05
109100-109285	2.85E+05	2.31E+05	3.35E+05	2.87E+05
109100-109285	2.65E+05	2.85E+05	2.95E+05	2.86E+05
109318-109716	2.89E+05	2.65E+05	2.66E+05	2.46E+05
109318-109716	2.34E+05	2.52E+05	2.70E+05	2.53E+05
109318-109716	2.70E+05	2.74E+05	2.94E+05	2.59E+05
109318-109716	2.74E+05	2.64E+05	2.85E+05	2.57E+05
1094326-1094514	2.42E+02	2.96E+02	3.55E+02	3.18E+02
1094326-1094514	3.01E+02	4.82E+02	7.10E+02	3.10E+02
1094326-1094514	3.26E+02	2.89E+02	2.78E+02	3.40E+02
1094326-1094514	3.74E+02	3.31E+02	3.57E+02	4.56E+02
1094548-1095342	1.16E+03	1.08E+03	1.65E+03	1.86E+03
1094548-1095342	1.28E+03	8.17E+02	1.63E+03	1.54E+03
1094548-1095342	1.22E+03	9.66E+02	1.81E+03	1.92E+03
1094548-1095342	1.21E+03	9.63E+02	1.91E+03	1.65E+03
1095404-1095604	9.17E+01	1.56E+02	4.71E+02	4.57E+02
1095404-1095604	2.19E+02	8.84E+01	1.94E+02	2.39E+02
1095404-1095604	1.53E+02	1.05E+02	8.91E+01	1.05E+02
1095404-1095604	2.73E+02	1.24E+02	7.78E+01	2.09E+02
1096282-1096479	3.69E+02	3.03E+02	5.98E+02	3.85E+02
1096282-1096479	3.64E+02	3.05E+02	6.30E+02	3.02E+02
1096282-1096479	4.55E+02	3.67E+02	6.79E+02	4.19E+02
1096282-1096479	3.23E+02	3.90E+02	8.92E+02	4.04E+02
1096496-1096825	3.22E+01	4.23E+01	8.51E+01	7.02E+01
1096496-1096825	2.57E+01	3.57E+01	7.84E+01	6.68E+01
1096496-1096825	6.54E+01	8.02E+01	7.88E+01	1.47E+02
1096496-1096825	1.06E+02	3.59E+01	8.04E+01	6.60E+01
1096927-1097115	2.19E+02	2.30E+02	4.56E+02	4.56E+02
1096927-1097115	2.60E+02	2.01E+02	6.14E+02	3.42E+02
1096927-1097115	2.90E+02	1.97E+02	1.60E+03	2.00E+02
1096927-1097115	2.26E+02	2.25E+02	3.34E+02	3.38E+02
1097125-1097343	2.81E+01	3.73E+01	1.50E+02	6.81E+01
1097125-1097343	1.05E+02	4.14E+01	8.52E+01	6.98E+01
1097125-1097343	2.67E+01	3.65E+01	2.87E+02	6.62E+01
1097125-1097343	8.78E+01	3.53E+01	7.82E+01	6.57E+01
1097442-1097684	1.00E+02	1.13E+02	8.72E+01	7.52E+01
1097442-1097684	1.32E+02	9.79E+01	9.22E+01	1.77E+02
1097442-1097684	1.54E+02	1.32E+02	8.34E+01	7.99E+01
1097442-1097684	1.84E+02	1.25E+02	5.53E+02	2.69E+02
109747-110289	2.30E+05	1.77E+05	2.42E+05	2.35E+05
109747-110289	2.48E+05	1.81E+05	2.42E+05	2.31E+05
109747-110289	2.10E+05	2.26E+05	2.31E+05	2.20E+05
109747-110289	2.29E+05	2.22E+05	2.33E+05	2.19E+05
1097768-1098283	8.10E+02	8.56E+02	9.00E+02	1.25E+03
1097768-1098283	9.44E+02	8.82E+02	1.23E+03	1.31E+03
1097768-1098283	9.87E+02	8.33E+02	1.06E+03	1.14E+03
1097768-1098283	9.49E+02	9.50E+02	1.21E+03	9.58E+02
1098285-1099187	1.55E+02	1.90E+02	5.75E+02	2.18E+02
1098285-1099187	2.03E+02	1.27E+02	1.98E+02	1.73E+02
1098285-1099187	2.91E+02	1.38E+02	1.84E+02	2.20E+02
1098285-1099187	2.06E+02	3.09E+02	2.86E+02	3.68E+02
1099200-1100039	7.21E+01	3.73E+01	8.25E+01	6.86E+01
1099200-1100039	5.60E+01	3.85E+01	2.58E+02	7.09E+01
1099200-1100039	1.54E+02	3.61E+01	7.76E+01	1.86E+02
1099200-1100039	4.66E+01	5.36E+01	7.79E+01	6.79E+01
1100110-1100364	1.59E+02	8.85E+01	9.27E+01	1.08E+02
1100110-1100364	2.43E+02	1.28E+02	2.39E+02	9.33E+01
1100110-1100364	2.00E+02	1.69E+02	8.79E+01	1.51E+02
1100110-1100364	1.80E+02	1.52E+02	2.35E+02	1.84E+02
1100438-1100701	9.86E+02	7.06E+02	1.12E+03	1.10E+03
1100438-1100701	1.18E+03	8.50E+02	1.23E+03	1.26E+03
1100438-1100701	1.23E+03	8.93E+02	1.48E+03	1.45E+03
1100438-1100701	9.94E+02	9.12E+02	1.43E+03	1.34E+03
1100713-1101063	3.96E+02	3.05E+02	4.70E+02	5.23E+02
1100713-1101063	4.13E+02	3.96E+02	3.62E+02	3.49E+02
1100713-1101063	3.88E+02	3.56E+02	4.75E+02	4.84E+02
1100713-1101063	3.85E+02	3.97E+02	4.38E+02	4.59E+02
1101067-1101447	2.63E+03	2.24E+03	3.53E+03	4.42E+03
1101067-1101447	3.63E+03	2.91E+03	3.73E+03	3.52E+03
1101067-1101447	3.51E+03	2.50E+03	3.88E+03	3.76E+03
1101067-1101447	3.15E+03	2.66E+03	4.06E+03	3.87E+03
1101431-1101577	1.58E+02	3.89E+01	8.79E+01	7.64E+01
1101431-1101577	6.74E+01	5.09E+01	4.65E+02	6.73E+01
1101431-1101577	7.72E+01	3.63E+01	7.69E+01	6.81E+01
1101431-1101577	3.02E+01	3.80E+01	8.58E+01	6.77E+01
1101707-1101880	1.24E+02	6.14E+01	9.09E+01	1.08E+02
